,ITEM_ID,GENRE
0,1,Animation|Children's|Comedy
6,7,Comedy|Romance
12,13,Animation|Children's
16,17,Drama|Romance
17,18,Thriller
18,19,Comedy
23,24,Drama|Sci-Fi
24,25,Drama|Romance
26,27,Drama
28,29,Adventure|Sci-Fi
29,30,Drama
31,32,Drama|Sci-Fi
33,34,Children's|Comedy|Drama
40,41,Drama|War
43,44,Action|Adventure
48,49,Drama|Romance
65,66,Sci-Fi|Thriller
70,71,Action
71,72,Comedy|Drama
76,77,Documentary
77,78,Drama
79,80,Drama
85,86,Adventure|Drama
87,88,Comedy
91,93,Comedy|Romance
93,95,Action|Thriller
94,96,Comedy
96,98,Action|Thriller
98,100,Drama|Thriller
103,105,Drama|Romance
104,106,Comedy|Drama
105,107,Adventure|Children's|Comedy|Musical
110,112,Action|Adventure|Crime
116,118,Comedy|Romance
117,119,Comedy
118,120,Drama
126,128,Documentary
128,130,Drama
136,138,Drama
139,141,Comedy
150,152,Horror
157,159,Drama
160,162,Documentary
169,171,Comedy
181,183,Thriller
185,187,Comedy
186,188,Horror
201,203,Comedy
205,207,Drama|Romance
212,214,Drama
216,218,Comedy|Drama
218,220,Horror
228,231,Comedy
231,234,Comedy
233,236,Comedy|Romance
236,239,Animation|Children's|Comedy|Romance
240,243,Comedy
242,245,Crime|Drama
243,246,Documentary
255,258,Adventure|Children's|Comedy|Fantasy|Romance
259,262,Children's|Drama
260,263,Drama
265,268,Drama
266,269,Drama
267,270,Drama|Romance
272,275,Comedy
275,278,Comedy
285,288,Action|Thriller
287,290,Crime|Drama
291,294,Comedy|Romance
292,295,Comedy|Romance
293,296,Crime|Drama
295,298,Comedy
297,300,Drama
299,302,Drama|Romance
300,303,Action|Adventure|Western
306,309,Drama
310,313,Animation|Children's
315,318,Drama
326,330,Comedy|Horror
328,332,Horror|Sci-Fi
330,334,Drama
332,336,Drama|War
335,339,Comedy|Romance
338,342,Comedy|Romance
344,348,Comedy
347,351,Comedy|Drama|Romance
353,357,Comedy|Romance
354,358,Drama
356,360,Action|Comedy
358,362,Adventure|Children's|Romance
363,367,Comedy|Crime|Fantasy
365,369,Drama
366,370,Comedy
367,371,Comedy|Drama
374,378,Comedy|Romance
380,384,Action
388,392,Adventure|Children's
390,394,Action
400,404,Documentary
402,406,Drama
404,408,Drama
407,411,Comedy
422,426,Horror|Sci-Fi|Thriller
423,427,Mystery|Romance|Thriller
425,429,Comedy
427,431,Crime|Drama
433,437,Comedy
434,438,Action|Comedy
437,441,Comedy
440,444,Comedy|Romance
441,445,Comedy
445,449,Comedy
447,451,Drama|Mystery|Romance
457,461,Drama|Romance
465,469,Drama|Romance
466,470,Comedy
468,472,Comedy|Drama
471,475,Drama
472,476,Comedy|Drama
476,480,Action|Adventure|Sci-Fi
478,482,Thriller
491,495,Drama
502,506,Drama
505,509,Drama|Romance
506,510,Drama
512,516,Comedy|Drama|War
524,528,Drama
527,531,Children's|Drama
530,534,Drama|Romance
536,540,Thriller
539,543,Comedy|Romance|Thriller
540,544,Action
541,545,Drama
544,548,Action
547,551,Children's|Comedy|Musical
556,560,Drama
557,561,Thriller
558,562,Comedy|Drama
559,563,Drama
561,565,Horror
571,575,Children's|Comedy
580,584,Drama
588,592,Action|Adventure|Crime|Drama
589,593,Drama|Thriller
591,595,Animation|Children's|Musical
